№ п/п,Итоговое имя агломерации,Входящие в агломерацию города,Регион города ИТОГ,Страна,Individual / Angel,Angel Group,Investment Partner,Syndicate
390,London,London,Greater London,United Kingdom,2776,119,2691,30
409,Los Angeles (Greater),Los Angeles,California,USA,1312,32,687,8
524,Mumbai Metropolitan Region,Mumbai,Maharashtra,India,1202,29,617,3
52,Berlin,Berlin,Berlin,Germany,730,40,369,3
73,Boston,Boston (USA),Massachusetts,USA,709,32,1150,3
26,Austin,Austin,Texas,USA,490,18,334,4
140,Chicago,Chicago,Illinois,USA,438,35,498,10
307,Greater Sydney,Sydney,New South Wales,Australia,413,18,348,8
353,Istanbul,Istanbul,Istanbul,Turkey,391,12,138,0
527,Munich,Munich,Bavaria,Germany,349,11,303,1
479,Miami (Greater),Miami,Florida,USA,310,13,205,2
7,Amsterdam,Amsterdam,North Holland,Netherlands,300,16,329,3
451,Madrid,Madrid,Community of Madrid,Spain,289,11,160,1
21,Atlanta,Atlanta,Georgia,USA,284,12,251,1
169,Copenhagen,Copenhagen,Capital Region of Denmark,Denmark,274,4,172,0
34,Barcelona,Barcelona,Catalonia,Spain,273,25,142,0
345,Hong Kong,Hong Kong,Hong Kong,China,258,20,105,2
224,Dubai,Dubai,Dubai,United Arab Emirates,249,23,136,12
30,Bangalore Metropolitan Region Development Authority,Bangalore,Karnataka,India,247,9,107,1
196,Dallas,Dallas,Texas,USA,217,12,233,2
301,Greater Melbourne,Melbourne,Victoria,Australia,201,10,150,0
494,Milan,Milan,Lombardy,Italy,197,9,133,1
206,Denver,Denver,Colorado,USA,178,9,165,2
342,Helsinki,Helsinki,Uusimaa,Finland,163,5,147,0
519,Montreal,Montreal,Quebec,Canada,160,8,220,0
137,Chennai metropolitan area,Chennai,Tamil Nadu,India,144,11,55,1
412,Los Angeles (Greater),Santa Monica,California,USA,138,4,99,1
346,Houston,Houston,Texas,USA,125,13,209,3
72,Boston,Cambridge (USA),Massachusetts,USA,122,4,216,0
324,Hamburg,Hamburg,Hamburg,Germany,119,4,48,0
108,Brussels,Brussels,Brussels,Belgium,110,2,102,0
522,Moscow,Moscow,Moscow,Russia,106,5,35,1
100,Boulder,Boulder,Colorado,USA,105,5,92,2
44,Beijing,Beijing,Beijing,China,101,41,222,0
356,Jakarta,Jakarta,Jakarta,Indonesia,98,10,70,1
477,Mexico City,Mexico City,Mexico City,Mexico,98,9,45,0
227,Dublin,Dublin,Leinster,Ireland,94,3,76,3
365,Las Vegas,Las Vegas,Nevada,USA,88,9,33,2
164,Cologne,Cologne,North Rhine-Westphalia,Germany,81,4,62,0
261,Geneva,Geneva,Geneva,Switzerland,79,2,100,1
417,Los Angeles (Greater),Beverly Hills,California,USA,69,3,40,0
513,Minneapolis,Minneapolis,Minnesota,USA,69,5,93,1
385,Lisbon,Lisbon,Lisboa Region,Portugal,68,5,85,0
25,Auckland,Auckland,Auckland Region,New Zealand,60,6,52,1
31,Bangkok,Bangkok,Bangkok,Thailand,58,1,3,0
288,Greater Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Malaysia,56,4,59,0
411,Los Angeles (Greater),Irvine,California,USA,56,4,31,1
63,Bogota D.C.,Bogota,Bogota,Colombia,55,4,18,0
487,Miami (Greater),Miami Beach,Florida,USA,55,0,28,0
160,City of Cape Town Metropolitan Municipality,Cape Town,Western Cape,South Africa,51,2,71,0
424,Los Angeles (Greater),Orange,California,USA,51,0,34,0
190,Cuyahoga,Cleveland,Ohio,USA,50,3,58,0
234,Dusseldorf,Düsseldorf,North Rhine-Westphalia,Germany,50,3,24,0
282,Greater Brisbane,Brisbane,Queensland,Australia,50,5,45,0
128,Cambridge,Cambridge (UK),East of England,United Kingdom,47,2,37,1
284,Greater Buenos Aires,Buenos Aires,Buenos Aires Province,Argentina,47,3,19,1
481,Miami (Greater),Fort Lauderdale,Florida,USA,47,0,31,0
238,Edinburgh,Edinburgh,Scotland,United Kingdom,45,7,63,0
213,Detroit (Greater),Detroit,Michigan,USA,44,3,65,0
363,Lagos,Lagos,Lagos,Nigeria,44,4,25,4
315,Greater Taipei Area,Taipei,Taipei,Taiwan,41,9,39,1
362,Kyiv,Kyiv,Kyiv,Ukraine,38,3,18,0
430,Los Angeles (Greater),Newport Beach,California,USA,37,2,38,0
482,Miami (Greater),Boca Raton,Florida,USA,36,1,23,0
118,Bucharest,Bucharest,Bucharest,Romania,34,8,19,0
304,Greater Perth,Perth,Western Australia,Australia,34,1,26,0
369,Lausanne,Lausanne,Vaud,Switzerland,34,2,38,1
123,Cairo,Cairo,Cairo,Egypt,32,11,46,0
462,Manchester,Manchester,North West England,United Kingdom,32,6,78,0
162,City of Johannesburg Metropolitan Municipality,Johannesburg,Gauteng,South Africa,31,3,107,0
448,Lyon,Lyon,Auvergne-Rhône-Alpes,France,31,4,31,0
278,Gothenburg,Gothenburg,Västra Götaland,Sweden,30,3,22,1
459,Malmo,Malmo,Skåne,Sweden,28,0,14,0
19,Athens,Athens,Attica,Greece,26,3,21,1
492,Miami (Greater),West Palm Beach,Florida,USA,26,1,31,1
106,Bristol,Bristol,South West England,United Kingdom,25,1,23,0
121,Budapest,Budapest,Central Hungary,Hungary,24,4,17,0
166,Columbus,Columbus,Ohio,USA,24,3,47,1
281,Greater Adelaide,Adelaide,South Australia,Australia,23,3,11,0
232,Durham,"Durham (USA, NC)",North Carolina,USA,22,1,41,0
410,Los Angeles (Greater),Pasadena,California,USA,22,1,19,0
425,Los Angeles (Greater),West Hollywood,California,USA,21,1,8,0
233,Durham,Chapel Hill,North Carolina,USA,20,4,20,0
333,Hangzhou,Hangzhou,Zhejiang,China,20,12,18,0
467,Manila,Manila,National Capital Region,Philippines,20,0,14,0
204,Dane,Madison,Wisconsin,USA,19,4,36,0
272,Gent,Gent,East Flanders,Belgium,19,0,7,0
423,Los Angeles (Greater),Malibu,California,USA,19,1,5,0
16,Ankara,Ankara,Ankara,Turkey,18,0,9,0
241,Edmonton,Edmonton,Alberta,Canada,18,1,23,2
39,Basel,Basel,Basel-Stadt,Switzerland,17,1,34,0
361,Kitchener,Waterloo,Ontario,Canada,16,1,11,0
373,Leeds,Leeds,Yorkshire and the Humber,United Kingdom,16,3,31,1
458,Malmo,Lund,Scania,Sweden,16,2,4,0
343,Helsinki,Espoo,Uusimaa,Finland,15,0,8,0
384,Lima,Lima,Lima,Peru,15,2,4,1
22,Atlanta,Alpharetta,Georgia,USA,13,1,0,0
199,Dallas,Plano,Texas,USA,13,0,12,0
201,Dallas,Fort Worth,Texas,USA,13,2,9,0
70,Bonn,Bonn,North Rhine-Westphalia,Germany,11,0,25,0
275,Glasgow,Glasgow,Scotland,United Kingdom,11,5,40,1
336,Hanover,Hanover,Lower Saxony,Germany,11,2,5,0
367,Las Vegas,Henderson,Nevada,USA,11,2,3,0
415,Los Angeles (Greater),Culver City,California,USA,10,0,3,0
433,Los Angeles (Greater),Marina Del Rey,California,USA,10,1,4,1
476,Memphis,Memphis,Tennessee,USA,10,0,16,0
514,Minneapolis,Saint Paul,Minnesota,USA,10,0,12,0
131,Cardiff,Cardiff,Wales,United Kingdom,9,0,18,0
208,Denver,Englewood,Colorado,USA,9,0,4,0
401,London,Essex,East of England,United Kingdom,9,1,0,0
484,Miami (Greater),Palm Beach Gardens,Florida,USA,9,1,8,0
488,Miami (Greater),Palm Beach,Florida,USA,9,1,8,0
2,Aarhus,Aarhus,Central Denmark Region,Denmark,8,0,6,0
65,Bologna,Bologna,Emilia-Romagna,Italy,8,0,7,0
130,Canberra,Canberra,Australian Capital Territory,Australia,8,0,5,0
200,Dallas,Irving,Texas,USA,8,1,5,0
321,Guangzhou,Guangzhou,Guangdong,China,8,2,5,0
359,Jeddah,Jeddah,Makkah Province,Saudi Arabia,8,2,1,0
382,Leipzig,Leipzig,Saxony,Germany,8,1,5,0
422,Los Angeles (Greater),San Clemente,California,USA,8,0,4,0
437,Los Angeles (Greater),Westlake Village,California,USA,8,0,0,0
440,Los Angeles (Greater),Costa Mesa,California,USA,8,1,2,0
525,Mumbai Metropolitan Region,Thane,Maharashtra,India,8,0,4,0
53,Berlin,Potsdam,Brandenburg,Germany,7,0,5,0
74,Boston,Waltham,Massachusetts,USA,7,2,25,0
207,Denver,Golden,Colorado,USA,7,0,8,0
318,Grenoble,Grenoble,Auvergne-Rhône-Alpes,France,7,1,2,0
339,Heidelberg,Heidelberg,Baden-Württemberg,Germany,7,1,5,0
383,Leuven,Leuven,Flemish Brabant,Belgium,7,0,12,0
418,Los Angeles (Greater),El Segundo,California,USA,7,0,3,0
474,Marseille,Marseille,Provence-Alpes-Côte d'Azur,France,7,1,6,0
47,Beirut,Beirut,Beirut,Lebanon,6,1,4,0
214,Detroit (Greater),Troy,Michigan,USA,6,1,4,0
223,Detroit (Greater),Bloomfield Hills,Michigan,USA,6,0,6,0
349,Houston,Spring,Texas,USA,6,0,1,0
387,Liverpool,Liverpool,North West England,United Kingdom,6,0,7,0
419,Los Angeles (Greater),Glendale,California,USA,6,0,1,0
442,Los Angeles (Greater),Lake Forest,California,USA,6,0,0,0
478,Mexico City,Naucalpan de Juárez,Mexico,Mexico,6,0,0,0
490,Miami (Greater),Pompano Beach,Florida,USA,6,0,2,0
141,Chicago,Evanston,Illinois,USA,5,1,5,0
211,Denver,Aurora (USA),Colorado,USA,5,0,1,0
355,Ithaca,Ithaca,New York,USA,5,0,5,0
381,Leiden,Leiden,South Holland,Netherlands,5,0,3,0
392,London,Hertfordshire,East of England,United Kingdom,5,0,1,0
396,London,Kingston upon Thames,Greater London,United Kingdom,5,0,2,0
399,London,Watford,East of England,United Kingdom,5,0,2,0
421,Los Angeles (Greater),Hawthorne,California,USA,5,0,3,0
4,Aberdeen,Aberdeen,Scotland,United Kingdom,4,3,16,0
8,Amsterdam,Haarlem,North Holland,Netherlands,4,0,5,0
89,Boston,Acton,Massachusetts,USA,4,0,1,0
167,Columbus,"Dublin (USA, OH)",Ohio,USA,4,0,2,0
171,Copenhagen,Frederiksberg,Capital Region of Denmark,Denmark,4,0,2,0
187,Cork,Cork,Munster,Ireland,4,0,3,1
209,Denver,Broomfield,Colorado,USA,4,0,7,0
210,Denver,Westminster (USA),Colorado,USA,4,0,1,0
378,Leicester,Leicester,East Midlands,United Kingdom,4,1,4,0
413,Los Angeles (Greater),Burbank,California,USA,4,0,0,0
469,Manila,Makati,National Capital Region,Philippines,4,2,10,1
470,Manila,Santa Maria,Central Luzon,Philippines,4,2,0,0
23,Atlanta,Duluth (GA),Georgia,USA,3,0,0,0
27,Austin,Round Rock,Texas,USA,3,1,0,0
57,Bern,Bern,Bern,Switzerland,3,0,9,0
76,Boston,Andover,Massachusetts,USA,3,0,5,0
77,Boston,Bedford,Massachusetts,USA,3,1,3,0
104,Brighton and Hove,Brighton,South East England,United Kingdom,3,1,0,0
124,Cairo,Giza,Giza,Egypt,3,0,0,0
143,Chicago,Schaumburg,Illinois,USA,3,0,0,0
203,Dallas,Addison,Texas,USA,3,0,0,0
242,Eindhoven,Eindhoven,North Brabant,Netherlands,3,0,27,0
246,Florence,Florence,Tuscany,Italy,3,0,4,0
259,Frankfurt am Main,Offenbach,Hesse,Germany,3,0,0,0
267,Geneva,Vevey,Vaud,Switzerland,3,0,3,0
290,Greater Kuala Lumpur,Petaling Jaya,Selangor,Malaysia,3,1,1,0
340,Heidelberg,Walldorf,Baden-Württemberg,Germany,3,1,0,0
404,London,Woking,South East England,United Kingdom,3,0,0,0
431,Los Angeles (Greater),Santa Ana,California,USA,3,1,0,0
480,Miami (Greater),Coral Gables,Florida,USA,3,0,2,0
483,Miami (Greater),Plantation,Florida,USA,3,0,0,0
1,Aalborg,Aalborg,North Jutland Region,Denmark,2,0,2,0
6,Almaty,Almaty,Almaty,Kazakhstan,2,0,0,0
10,Amsterdam,Almere,Flevoland,Netherlands,2,0,5,0
28,Austin,San Marcos,Texas,USA,2,0,0,0
78,Boston,Chestnut Hill,Massachusetts,USA,2,0,2,0
86,Boston,Somerville,Massachusetts,USA,2,1,2,0
94,Boston,Natick,Massachusetts,USA,2,0,1,0
95,Boston,Newton,Massachusetts,USA,2,3,5,0
98,Boston,Woburn,Massachusetts,USA,2,0,5,0
133,Champaign,Champaign,Illinois,USA,2,0,3,0
136,Chengdu,Chengdu,Sichuan,China,2,1,0,0
152,Chicago,Hoffman Estates,Illinois,USA,2,0,0,0
198,Dallas,Richardson,Texas,USA,2,0,1,0
202,Dallas,Denton,Texas,USA,2,0,0,0
217,Detroit (Greater),Northville,Michigan,USA,2,0,1,0
219,Detroit (Greater),Dearborn,Michigan,USA,2,0,1,0
225,Dubai,Sharjah,Sharjah,United Arab Emirates,2,1,1,0
236,Dusseldorf,Ratingen,North Rhine-Westphalia,Germany,2,0,1,0
245,Exeter,Exeter (UK),South West England,United Kingdom,2,1,1,0
252,Frankfurt am Main,Frankfurt am Main,Hesse,Germany,2,0,100,0
270,Geneva,Montreux,Vaud,Switzerland,2,0,0,0
323,Guangzhou,Dongguan,Guangdong,China,2,1,1,0
330,Hamilton,Hamilton (Canada),Ontario,Canada,2,0,4,0
391,London,Uxbridge,Greater London,United Kingdom,2,0,0,0
393,London,Hatfield,East of England,United Kingdom,2,0,1,0
406,London,Harrow,Greater London,United Kingdom,2,0,0,0
414,Los Angeles (Greater),Anaheim,California,USA,2,0,2,0
416,Los Angeles (Greater),Riverside,California,USA,2,0,0,0
420,Los Angeles (Greater),Long Beach,California,USA,2,0,3,0
427,Los Angeles (Greater),Torrance,California,USA,2,0,1,0
428,Los Angeles (Greater),Monrovia,California,USA,2,0,1,0
439,Los Angeles (Greater),Compton,California,USA,2,0,0,0
452,Madrid,Alcobendas,Community of Madrid,Spain,2,0,0,0
464,Manchester,Crewe,North West England,United Kingdom,2,0,1,0
471,Manila,Taguig,Metro Manila,Philippines,2,1,0,0
515,Minneapolis,Eden Prairie,Minnesota,USA,2,0,2,0
9,Amsterdam,Hilversum,North Holland,Netherlands,1,0,4,0
17,Antwerp,Antwerpen,Antwerp,Belgium,1,0,1,0
24,Atlanta,Norcross,Georgia,USA,1,0,0,0
36,Barcelona,Badalona,Catalonia,Spain,1,0,0,0
38,Barcelona,Mataró,Catalonia,Spain,1,0,1,0
40,Basel,Allschwil,Basel-Landschaft,Switzerland,1,0,1,0
41,Basel,Muttenz,Basel-Landschaft,Switzerland,1,0,0,0
51,Benton (WA),Richland,Washington,USA,1,0,0,0
58,Bern,Biel,Bern,Switzerland,1,0,0,0
80,Boston,Framingham,Massachusetts,USA,1,1,6,0
81,Boston,Watertown,Massachusetts,USA,1,0,5,0
82,Boston,Marlborough (USA),Massachusetts,USA,1,0,3,0
84,Boston,Beverly,Massachusetts,USA,1,1,0,0
85,Boston,Lowell,Massachusetts,USA,1,0,0,0
88,Boston,Wellesley,Massachusetts,USA,1,1,4,0
90,Boston,Braintree,Massachusetts,USA,1,0,1,0
97,Boston,Westford,Massachusetts,USA,1,1,1,0
109,Brussels,Louvain-la-Neuve,Walloon Brabant,Belgium,1,0,0,0
111,Brussels,Ottignies,Walloon Brabant,Belgium,1,0,0,0
135,Changsha,Changsha,Hunan,China,1,0,0,0
